original,this,that,order
Brunsvigiaceae=Amaryllidaceae=Asparagales,Brunsvigiaceae,Amaryllidaceae,Asparagales
Cepaceae=Amaryllidaceae=Asparagales,Cepaceae,Amaryllidaceae,Asparagales
Chlorogalaceae=Asparagaceae=Asparagales,Chlorogalaceae,Asparagaceae,Asparagales
Conantheraceae=Tecophilaeaceae=Asparagales,Conantheraceae,Tecophilaeaceae,Asparagales
Convallariaceae=Asparagaceae=Asparagales,Convallariaceae,Asparagaceae,Asparagales
Crinaceae=Amaryllidaceae=Asparagales,Crinaceae,Amaryllidaceae,Asparagales
Crocaceae=Iridaceae=Asparagales,Crocaceae,Iridaceae,Asparagales
Cyanastraceae=Tecophilaeaceae=Asparagales,Cyanastraceae,Tecophilaeaceae,Asparagales
Cyanellaceae=Tecophilaeaceae=Asparagales,Cyanellaceae,Tecophilaeaceae,Asparagales
Cypripediaceae=Orchidaceae=Asparagales,Cypripediaceae,Orchidaceae,Asparagales
Cyrtanthaceae=Amaryllidaceae=Asparagales,Cyrtanthaceae,Amaryllidaceae,Asparagales
Dianellaceae=Xanthorrhoeaceae=Asparagales,Dianellaceae,Xanthorrhoeaceae,Asparagales
Dracaenaceae=Asparagaceae=Asparagales,Dracaenaceae,Asparagaceae,Asparagales
Eccremidaceae=?Xanthorrhoeaceae=Asparagales,Eccremidaceae,Xanthorrhoeaceae,Asparagales
Eriospermaceae=Asparagaceae=Asparagales,Eriospermaceae,Asparagaceae,Asparagales
Eucomidaceae=Asparagaceae=Asparagales,Eucomidaceae,Asparagaceae,Asparagales
Eustrephaceae=Asparagaceae=Asparagales,Eustrephaceae,Asparagaceae,Asparagales
Funkiaceae=Asparagaceae=Asparagales,Funkiaceae,Asparagaceae,Asparagales
Galanthaceae=Amaryllidaceae=Asparagales,Galanthaceae,Amaryllidaceae,Asparagales
Galaxiaceae=Iridaceae=Asparagales,Galaxiaceae,Iridaceae,Asparagales
Geitonoplesiaceae=Xanthorrhoeaceae=Asparagales,Geitonoplesiaceae,Xanthorrhoeaceae,Asparagales
Geosiridaceae=Iridaceae=Asparagales,Geosiridaceae,Iridaceae,Asparagales
Gethyllidaceae=Amaryllidaceae=Asparagales,Gethyllidaceae,Amaryllidaceae,Asparagales
Gilliesiaceae=Amaryllidaceae=Asparagales,Gilliesiaceae,Amaryllidaceae,Asparagales
Gladiolaceae=Iridaceae=Asparagales,Gladiolaceae,Iridaceae,Asparagales
Haemanthaceae=Amaryllidaceae=Asparagales,Haemanthaceae,Amaryllidaceae,Asparagales
Hemerocallidaceae=Xanthorrhoeaceae=Asparagales,Hemerocallidaceae,Xanthorrhoeaceae,Asparagales
Hemiphylacaceae=Asparagaceae=Asparagales,Hemiphylacaceae,Asparagaceae,Asparagales
Herreriaceae=Asparagaceae=Asparagales,Herreriaceae,Asparagaceae,Asparagales
Hesperocallidaceae=Asparagaceae=Asparagales,Hesperocallidaceae,Asparagaceae,Asparagales
Hostaceae=Asparagaceae=Asparagales,Hostaceae,Asparagaceae,Asparagales
Hyacinthaceae=Asparagaceae=Asparagales,Hyacinthaceae,Asparagaceae,Asparagales
Isophysidaceae=Iridaceae=Asparagales,Isophysidaceae,Iridaceae,Asparagales
Ixiaceae=Iridaceae=Asparagales,Ixiaceae,Iridaceae,Asparagales
Johnsoniaceae=Xanthorrhoeaceae=Asparagales,Johnsoniaceae,Xanthorrhoeaceae,Asparagales
Lachenaliaceae=Asparagaceae=Asparagales,Lachenaliaceae,Asparagaceae,Asparagales
Laxmanniaceae=Asparagaceae=Asparagales,Laxmanniaceae,Asparagaceae,Asparagales
Leucojaceae=Amaryllidaceae=Asparagales,Leucojaceae,Amaryllidaceae,Asparagales
Limodoraceae=Orchidaceae=Asparagales,Limodoraceae,Orchidaceae,Asparagales
Liparidaceae=Orchidaceae=Asparagales,Liparidaceae,Orchidaceae,Asparagales
Lomandraceae=Asparagaceae=Asparagales,Lomandraceae,Asparagaceae,Asparagales
Milulaceae=Amaryllidaceae=Asparagales,Milulaceae,Amaryllidaceae,Asparagales
Narcissaceae=Amaryllidaceae=Asparagales,Narcissaceae,Amaryllidaceae,Asparagales
Neottiaceae=Orchidaceae=Asparagales,Neottiaceae,Orchidaceae,Asparagales
Neuwiediaceae=Orchidaceae=Asparagales,Neuwiediaceae,Orchidaceae,Asparagales
Nolinaceae=Asparagaceae=Asparagales,Nolinaceae,Asparagaceae,Asparagales
Ophiopogonaceae=Asparagaceae=Asparagales,Ophiopogonaceae,Asparagaceae,Asparagales
Ophrydaceae=Orchidaceae=Asparagales,Ophrydaceae,Orchidaceae,Asparagales
Oporanthaceae=Amaryllidaceae=Asparagales,Oporanthaceae,Amaryllidaceae,Asparagales
Ornithogalaceae=Asparagaceae=Asparagales,Ornithogalaceae,Asparagaceae,Asparagales
Pancratiaceae=Amaryllidaceae=Asparagales,Pancratiaceae,Amaryllidaceae,Asparagales
Peliosanthaceae=Asparagaceae=Asparagales,Peliosanthaceae,Asparagaceae,Asparagales
Phormiaceae=Xanthorrhoeaceae=Asparagales,Phormiaceae,Xanthorrhoeaceae,Asparagales
Polygonataceae=Asparagaceae=Asparagales,Polygonataceae,Asparagaceae,Asparagales
Ruscaceae=Asparagaceae=Asparagales,Ruscaceae,Asparagaceae,Asparagales
Sansevieriaceae=Asparagaceae=Asparagales,Sansevieriaceae,Asparagaceae,Asparagales
Scillaceae=Asparagaceae=Asparagales,Scillaceae,Asparagaceae,Asparagales
Strumariaceae=Amaryllidaceae=Asparagales,Strumariaceae,Amaryllidaceae,Asparagales
Themidaceae=Asparagaceae=Asparagales,Themidaceae,Asparagaceae,Asparagales
Tulbaghiaceae=Amaryllidaceae=Asparagales,Tulbaghiaceae,Amaryllidaceae,Asparagales
Tupistraceae=Asparagaceae=Asparagales,Tupistraceae,Asparagaceae,Asparagales
Vanillaceae=Orchidaceae=Asparagales,Vanillaceae,Orchidaceae,Asparagales
Walleriaceae=Tecophilaeaceae=Asparagales,Walleriaceae,Tecophilaeaceae,Asparagales
Yuccaceae=Asparagaceae=Asparagales,Yuccaceae,Asparagaceae,Asparagales
Zephyranthaceae=Amaryllidaceae=Asparagales,Zephyranthaceae,Amaryllidaceae,Asparagales
Abrophyllaceae=Rousseaceae=Asterales,Abrophyllaceae,Rousseaceae,Asterales
Acarnaceae=Asteraceae=Asterales,Acarnaceae,Asteraceae,Asterales
Ambrosiaceae=Asteraceae=Asterales,Ambrosiaceae,Asteraceae,Asterales
Anthemidaceae=Asteraceae=Asterales,Anthemidaceae,Asteraceae,Asterales
Aposeridaceae=Asteraceae=Asterales,Aposeridaceae,Asteraceae,Asterales
Arctotidaceae=Asteraceae=Asterales,Arctotidaceae,Asteraceae,Asterales
Artemisiaceae=Asteraceae=Asterales,Artemisiaceae,Asteraceae,Asterales
Athanasiaceae=Asteraceae=Asterales,Athanasiaceae,Asteraceae,Asterales
Boopidaceae=Calyceraceae=Asterales,Boopidaceae,Calyceraceae,Asterales
Brunoniaceae=Goodeniaceae=Asterales,Brunoniaceae,Goodeniaceae,Asterales
Calendulaceae=Asteraceae=Asterales,Calendulaceae,Asteraceae,Asterales
Carduaceae=Asteraceae=Asterales,Carduaceae,Asteraceae,Asterales
Carlinaceae=Asteraceae=Asterales,Carlinaceae,Asteraceae,Asterales
Carpodetaceae=Rousseaceae=Asterales,Carpodetaceae,Rousseaceae,Asterales
Centaureaceae=Asteraceae=Asterales,Centaureaceae,Asteraceae,Asterales
Cichoriaceae=Asteraceae=Asterales,Cichoriaceae,Asteraceae,Asterales
Cnicaceae=Asteraceae=Asterales,Cnicaceae,Asteraceae,Asterales
Compositae=Asteraceae=Asterales,Compositae,Asteraceae,Asterales
Coreopsidaceae=Asteraceae=Asterales,Coreopsidaceae,Asteraceae,Asterales
Corokiaceae=Argophyllaceae=Asterales,Corokiaceae,Argophyllaceae,Asterales
Cyananthaceae=Campanulaceae=Asterales,Cyananthaceae,Campanulaceae,Asterales
Cynaraceae=Asteraceae=Asterales,Cynaraceae,Asteraceae,Asterales
Cyphiaceae=Campanulaceae=Asterales,Cyphiaceae,Campanulaceae,Asterales
Cyphocarpaceae=Campanulaceae=Asterales,Cyphocarpaceae,Campanulaceae,Asterales
Donatiaceae=Stylidiaceae=Asterales,Donatiaceae,Stylidiaceae,Asterales
Dortmannaceae=Campanulaceae=Asterales,Dortmannaceae,Campanulaceae,Asterales
Echinopaceae=Asteraceae=Asterales,Echinopaceae,Asteraceae,Asterales
Eupatoriaceae=Asteraceae=Asterales,Eupatoriaceae,Asteraceae,Asterales
Gnaphaliaceae=Asteraceae=Asterales,Gnaphaliaceae,Asteraceae,Asterales
Grindeliaceae=Asteraceae=Asterales,Grindeliaceae,Asteraceae,Asterales
Heleniaceae=Asteraceae=Asterales,Heleniaceae,Asteraceae,Asterales
Helianthaceae=Asteraceae=Asterales,Helianthaceae,Asteraceae,Asterales
Helichrysaceae=Asteraceae=Asterales,Helichrysaceae,Asteraceae,Asterales
Inulaceae=Asteraceae=Asterales,Inulaceae,Asteraceae,Asterales
Ivaceae=Asteraceae=Asterales,Ivaceae,Asteraceae,Asterales
Jasionaceae=Campanulaceae=Asterales,Jasionaceae,Campanulaceae,Asterales
Lactucaceae=Asteraceae=Asterales,Lactucaceae,Asteraceae,Asterales
Lampsanaceae=Asteraceae=Asterales,Lampsanaceae,Asteraceae,Asterales
Lobeliaceae=Campanulaceae=Asterales,Lobeliaceae,Campanulaceae,Asterales
Madiaceae=Asteraceae=Asterales,Madiaceae,Asteraceae,Asterales
Matricariaceae=Asteraceae=Asterales,Matricariaceae,Asteraceae,Asterales
Mutisiaceae=Asteraceae=Asterales,Mutisiaceae,Asteraceae,Asterales
Nassauviaceae=Asteraceae=Asterales,Nassauviaceae,Asteraceae,Asterales
Nemacladaceae=Campanulaceae=Asterales,Nemacladaceae,Campanulaceae,Asterales
Partheniaceae=Asteraceae=Asterales,Partheniaceae,Asteraceae,Asterales
Perdiciaceae=Asteraceae=Asterales,Perdiciaceae,Asteraceae,Asterales
Picridaceae=Asteraceae=Asterales,Picridaceae,Asteraceae,Asterales
Platyspermataceae=Alseuosmiaceae=Asterales,Platyspermataceae,Alseuosmiaceae,Asterales
Santolinaceae=Asteraceae=Asterales,Santolinaceae,Asteraceae,Asterales
Scaevolaceae=Goodeniaceae=Asterales,Scaevolaceae,Goodeniaceae,Asterales
Senecionaceae=Asteraceae=Asterales,Senecionaceae,Asteraceae,Asterales
Serratulaceae=Asteraceae=Asterales,Serratulaceae,Asteraceae,Asterales
Tanacetaceae=Asteraceae=Asterales,Tanacetaceae,Asteraceae,Asterales
Tussilagaceae=Asteraceae=Asterales,Tussilagaceae,Asteraceae,Asterales
Vernoniaceae=Asteraceae=Asterales,Vernoniaceae,Asteraceae,Asterales
Xanthiaceae=Asteraceae=Asterales,Xanthiaceae,Asteraceae,Asterales
Xeranthemaceae=Asteraceae=Asterales,Xeranthemaceae,Asteraceae,Asterales
"Oncothecaceae=NearGarryales,asteridI",Oncothecaceae,,asteridI
Illiciaceae=Schisandraceae=Austrobaileyales,Illiciaceae,Schisandraceae,Austrobaileyales
Kadsuraceae=Schisandraceae=Austrobaileyales,Kadsuraceae,Schisandraceae,Austrobaileyales
Arabidaceae=Brassicaceae=Brassicales,Arabidaceae,Brassicaceae,Brassicales
Astrocarpaceae=Resedaceae=Brassicales,Astrocarpaceae,Resedaceae,Brassicales
Azimaceae=Salvadoraceae=Brassicales,Azimaceae,Salvadoraceae,Brassicales
Bretschneideraceae=Akaniaceae=Brassicales,Bretschneideraceae,Akaniaceae,Brassicales
Cruciferae=Brassicaceae=Brassicales,Cruciferae,Brassicaceae,Brassicales
Drabaceae=Brassicaceae=Brassicales,Drabaceae,Brassicaceae,Brassicales
Erysimaceae=Brassicaceae=Brassicales,Erysimaceae,Brassicaceae,Brassicales
Hyperantheraceae=Moringaceae=Brassicales,Hyperantheraceae,Moringaceae,Brassicales
Isatidaceae=Brassicaceae=Brassicales,Isatidaceae,Brassicaceae,Brassicales
Oxystylidaceae=Cleomaceae=Brassicales,Oxystylidaceae,Cleomaceae,Brassicales
Papayaceae=Caricaceae=Brassicales,Papayaceae,Caricaceae,Brassicales
Raphanaceae=Brassicaceae=Brassicales,Raphanaceae,Brassicaceae,Brassicales
Schizopetalaceae=Brassicaceae=Brassicales,Schizopetalaceae,Brassicaceae,Brassicales
Sisymbriaceae=Brassicaceae=Brassicales,Sisymbriaceae,Brassicaceae,Brassicales
Stanleyaceae=Brassicaceae=Brassicales,Stanleyaceae,Brassicaceae,Brassicales
"Stixaceae=nearResedaceae,Brassicales",Stixaceae,nearResedaceae,Brassicales
Thlaspiaceae=Brassicaceae=Brassicales,Thlaspiaceae,Brassicaceae,Brassicales
Berzeliaceae=Bruniaceae=Bruniales,Berzeliaceae,Bruniaceae,Bruniales
Desfontainiaceae=Columelliaceae=Bruniales,Desfontainiaceae,Columelliaceae,Bruniales
Haptanthaceae=Buxaceae=Buxales,Haptanthaceae,Buxaceae,Buxales
Pachysandraceae=Buxaceae=Buxales,Pachysandraceae,Buxaceae,Buxales
Stylocerataceae=Buxaceae=Buxales,Stylocerataceae,Buxaceae,Buxales
Drimyidaceae=Winteraceae=Canellales,Drimyidaceae,Winteraceae,Canellales
Taktajaniaceae=Winteraceae=Canellales,Taktajaniaceae,Winteraceae,Canellales
Achatocarpaceae=Caryophyllales,Achatocarpaceae,,Caryophyllales
Achyranthaceae=Amaranthaceae=Caryophyllales,Achyranthaceae,Amaranthaceae,Caryophyllales
Adenogrammaceae=Molluginaceae=Caryophyllales,Adenogrammaceae,Molluginaceae,Caryophyllales
Aegialitidaceae=Plumbaginaceae=Caryophyllales,Aegialitidaceae,Plumbaginaceae,Caryophyllales
Agdestidaceae=Phytolaccaceae=Caryophyllales,Agdestidaceae,Phytolaccaceae,Caryophyllales
Aldrovandaceae=Droseraceae=Caryophyllales,Aldrovandaceae,Droseraceae,Caryophyllales
Allioniaceae=Nyctaginaceae=Caryophyllales,Allioniaceae,Nyctaginaceae,Caryophyllales
Alsinaceae=Caryophyllaceae=Caryophyllales,Alsinaceae,Caryophyllaceae,Caryophyllales
Anrederaceae=Basellaceae=Caryophyllales,Anrederaceae,Basellaceae,Caryophyllales
Armeriaceae=Plumbaginaceae=Caryophyllales,Armeriaceae,Plumbaginaceae,Caryophyllales
Atriplicaceae=Amaranthaceae=Caryophyllales,Atriplicaceae,Amaranthaceae,Caryophyllales
Betaceae=Amaranthaceae=Caryophyllales,Betaceae,Amaranthaceae,Caryophyllales
Blitaceae=Amaranthaceae=Caryophyllales,Blitaceae,Amaranthaceae,Caryophyllales
Bougainvilleaceae=Nyctaginaceae=Caryophyllales,Bougainvilleaceae,Nyctaginaceae,Caryophyllales
Calligonaceae=Polygonaceae=Caryophyllales,Calligonaceae,Polygonaceae,Caryophyllales
Celosiaceae=Amaranthaceae=Caryophyllales,Celosiaceae,Amaranthaceae,Caryophyllales
Cerastiaceae=Caryophyllaceae=Caryophyllales,Cerastiaceae,Caryophyllaceae,Caryophyllales
Cereaceae=Cactaceae=Caryophyllales,Cereaceae,Cactaceae,Caryophyllales
Chenopodiaceae=Amaranthaceae=Caryophyllales,Chenopodiaceae,Amaranthaceae,Caryophyllales
Corispermaceae=Amaranthaceae=Caryophyllales,Corispermaceae,Amaranthaceae,Caryophyllales
Corrigiolaceae=Caryophyllaceae=Caryophyllales,Corrigiolaceae,Caryophyllaceae,Caryophyllales
Deeringiaceae=Amaranthaceae=Caryophyllales,Deeringiaceae,Amaranthaceae,Caryophyllales
Dianthaceae=Caryophyllaceae=Caryophyllales,Dianthaceae,Caryophyllaceae,Caryophyllales
Dionaeaceae=Droseraceae=Caryophyllales,Dionaeaceae,Droseraceae,Caryophyllales
Dysphaniaceae=Amaranthaceae=Caryophyllales,Dysphaniaceae,Amaranthaceae,Caryophyllales
Eriogonaceae=Polygonaceae=Caryophyllales,Eriogonaceae,Polygonaceae,Caryophyllales
Ficoidaceae=Aizoaceae=Caryophyllales,Ficoidaceae,Aizoaceae,Caryophyllales
Galeniaceae=Aizoaceae=Caryophyllales,Galeniaceae,Aizoaceae,Caryophyllales
Glinaceae=Molluginaceae=Caryophyllales,Glinaceae,Molluginaceae,Caryophyllales
Gomphrenaceae=Amaranthaceae=Caryophyllales,Gomphrenaceae,Amaranthaceae,Caryophyllales
Hectorellaceae=Montiaceae=Caryophyllales,Hectorellaceae,Montiaceae,Caryophyllales
Herniariaceae=Caryophyllaceae=Caryophyllales,Herniariaceae,Caryophyllaceae,Caryophyllales
Hilleriaceae=Phytolaccaceae=Caryophyllales,Hilleriaceae,Phytolaccaceae,Caryophyllales
Illecebraceae=Caryophyllaceae=Caryophyllales,Illecebraceae,Caryophyllaceae,Caryophyllales
Jalapaceae=Nyctaginaceae=Caryophyllales,Jalapaceae,Nyctaginaceae,Caryophyllales
Leuctenbergiaceae=Cactaceae=Caryophyllales,Leuctenbergiaceae,Cactaceae,Caryophyllales
Limoniaceae=Plumbaginaceae=Caryophyllales,Limoniaceae,Plumbaginaceae,Caryophyllales
Lychnidaceae=Caryophyllaceae=Caryophyllales,Lychnidaceae,Caryophyllaceae,Caryophyllales
Mesembryaceae=Aizoaceae=Caryophyllales,Mesembryaceae,Aizoaceae,Caryophyllales
Mesembryanthemaceae=Aizoaceae=Caryophyllales,Mesembryanthemaceae,Aizoaceae,Caryophyllales
Minuartiaceae=Caryophyllaceae=Caryophyllales,Minuartiaceae,Caryophyllaceae,Caryophyllales
Mirabilidaceae=Nyctaginaceae=Caryophyllales,Mirabilidaceae,Nyctaginaceae,Caryophyllales
Nopaleaceae=Cactaceae=Caryophyllales,Nopaleaceae,Cactaceae,Caryophyllales
Opuntiaceae=Cactaceae=Caryophyllales,Opuntiaceae,Cactaceae,Caryophyllales
Ortegaceae=Caryophyllaceae=Caryophyllales,Ortegaceae,Caryophyllaceae,Caryophyllales
Paronychiaceae=Caryophyllaceae=Caryophyllales,Paronychiaceae,Caryophyllaceae,Caryophyllales
Persicariaceae=Polygonaceae=Caryophyllales,Persicariaceae,Polygonaceae,Caryophyllales
Petiveriaceae=Phytolaccaceae=Caryophyllales,Petiveriaceae,Phytolaccaceae,Caryophyllales
Pharnaceaceae=Molluginaceae=Caryophyllales,Pharnaceaceae,Molluginaceae,Caryophyllales
Pisoniaceae=Nyctaginaceae=Caryophyllales,Pisoniaceae,Nyctaginaceae,Caryophyllales
Polpodaceae=Molluginaceae=Caryophyllales,Polpodaceae,Molluginaceae,Caryophyllales
Polycarpaeaceae=Caryophyllaceae=Caryophyllales,Polycarpaeaceae,Caryophyllaceae,Caryophyllales
Polycnemaceae=Amaranthaceae=Caryophyllales,Polycnemaceae,Amaranthaceae,Caryophyllales
Portulacariaceae=Didiereaceae=Caryophyllales,Portulacariaceae,Didiereaceae,Caryophyllales
Reaumuriaceae=Tamaricaceae=Caryophyllales,Reaumuriaceae,Tamaricaceae,Caryophyllales
Riviniaceae=Phytolaccaceae=Caryophyllales,Riviniaceae,Phytolaccaceae,Caryophyllales
Rumicaceae=Polygonaceae=Caryophyllales,Rumicaceae,Polygonaceae,Caryophyllales
Sabulinaceae=Caryophyllaceae=Caryophyllales,Sabulinaceae,Caryophyllaceae,Caryophyllales
Saginaceae=Caryophyllaceae=Caryophyllales,Saginaceae,Caryophyllaceae,Caryophyllales
Salicorniaceae=Amaranthaceae=Caryophyllales,Salicorniaceae,Amaranthaceae,Caryophyllales
Salsolaceae=Amaranthaceae=Caryophyllales,Salsolaceae,Amaranthaceae,Caryophyllales
Sarcocaceae=Phytolaccaceae=Caryophyllales,Sarcocaceae,Phytolaccaceae,Caryophyllales
Scleranthaceae=Caryophyllaceae=Caryophyllales,Scleranthaceae,Caryophyllaceae,Caryophyllales
Seguieriaceae=Phytolaccaceae=Caryophyllales,Seguieriaceae,Phytolaccaceae,Caryophyllales
