original,this,that
Calycerales =Asterales,Calycerales,Asterales
Campanulales =Asterales,Campanulales,Asterales
Carduales =Asterales,Carduales,Asterales
Cichoriales =Asterales,Cichoriales,Asterales
Cynarales =Asterales,Cynarales,Asterales
Echinopales =Asterales,Echinopales,Asterales
Goodeniales =Asterales,Goodeniales,Asterales
Lobeliales =Asterales,Lobeliales,Asterales
Menyanthales =Asterales,Menyanthales,Asterales
Pentaphragmatales =Asterales,Pentaphragmatales,Asterales
Phellinales =Asterales,Phellinales,Asterales
Rousseales =Asterales,Rousseales,Asterales
Scaevolales =Asterales,Scaevolales,Asterales
Stylidiales =Asterales,Stylidiales,Asterales
Illiciales =Austrobaileyales,Illiciales,Austrobaileyales
Schisandrales =Austrobaileyales,Schisandrales,Austrobaileyales
Trimeniales =Austrobaileyales,Trimeniales,Austrobaileyales
Boraginales =Boraginaceae-Unplaced Asterid I,Boraginales,Boraginaceae-Unplaced Asterid I
Cordiales =Boraginaceae-Unplaced Asterid I,Cordiales,Boraginaceae-Unplaced Asterid I
Echiales =Boraginaceae-Unplaced Asterid I,Echiales,Boraginaceae-Unplaced Asterid I
Ehretiales =Boraginaceae-Unplaced Asterid I,Ehretiales,Boraginaceae-Unplaced Asterid I
Hydrophyllales =Boraginaceae-Unplaced Asterid I,Hydrophyllales,Boraginaceae-Unplaced Asterid I
Akaniales =Brassicales,Akaniales,Brassicales
Batales =Brassicales,Batales,Brassicales
Capparales =Brassicales,Capparales,Brassicales
Caricales =Brassicales,Caricales,Brassicales
Gyrostemonales =Brassicales,Gyrostemonales,Brassicales
Limnanthales =Brassicales,Limnanthales,Brassicales
Moringales =Brassicales,Moringales,Brassicales
Resedales =Brassicales,Resedales,Brassicales
Salvadorales =Brassicales,Salvadorales,Brassicales
Tovariales =Brassicales,Tovariales,Brassicales
Tropaeolales =Brassicales,Tropaeolales,Brassicales
Columelliales =Bruniales,Columelliales,Bruniales
Desfontainiales =Bruniales,Desfontainiales,Bruniales
Didymelales =Buxales,Didymelales,Buxales
Winterales =Canellales,Winterales,Canellales
Aizoales =Caryophyllales,Aizoales,Caryophyllales
Alsinales =Caryophyllales,Alsinales,Caryophyllales
Amaranthales =Caryophyllales,Amaranthales,Caryophyllales
Ancistrocladales =Caryophyllales,Ancistrocladales,Caryophyllales
Atriplicales =Caryophyllales,Atriplicales,Caryophyllales
Chenopodiales =Caryophyllales,Chenopodiales,Caryophyllales
Dioncophyllales =Caryophyllales,Dioncophyllales,Caryophyllales
Droserales =Caryophyllales,Droserales,Caryophyllales
Frankeniales =Caryophyllales,Frankeniales,Caryophyllales
Illecebrales =Caryophyllales,Illecebrales,Caryophyllales
Mesembryanthemales =Caryophyllales,Mesembryanthemales,Caryophyllales
Nepenthales =Caryophyllales,Nepenthales,Caryophyllales
Nyctaginales =Caryophyllales,Nyctaginales,Caryophyllales
Opuntiales =Caryophyllales,Opuntiales,Caryophyllales
Paronychiales =Caryophyllales,Paronychiales,Caryophyllales
Petiveriales =Caryophyllales,Petiveriales,Caryophyllales
Physenales =Caryophyllales,Physenales,Caryophyllales
Phytolaccales =Caryophyllales,Phytolaccales,Caryophyllales
Plumbaginales =Caryophyllales,Plumbaginales,Caryophyllales
Polygonales =Caryophyllales,Polygonales,Caryophyllales
Portulacales =Caryophyllales,Portulacales,Caryophyllales
Reaumuriales =Caryophyllales,Reaumuriales,Caryophyllales
Rhabdodendrales =Caryophyllales,Rhabdodendrales,Caryophyllales
Riviniales =Caryophyllales,Riviniales,Caryophyllales
Scleranthales =Caryophyllales,Scleranthales,Caryophyllales
Silenales =Caryophyllales,Silenales,Caryophyllales
Simmondsiales =Caryophyllales,Simmondsiales,Caryophyllales
Staticales =Caryophyllales,Staticales,Caryophyllales
Stellariales =Caryophyllales,Stellariales,Caryophyllales
Tamaricales =Caryophyllales,Tamaricales,Caryophyllales
Telephiales =Caryophyllales,Telephiales,Caryophyllales
Cactales =Caryophyllales Caesalpiniales =Fabales,Cactales,Caryophyllales Caesalpiniales 
Brexiales =Celastrales,Brexiales,Celastrales
Parnassiales =Celastrales,Parnassiales,Celastrales
Stackhousiales =Celastrales,Stackhousiales,Celastrales
Haemodorales =Commelinales,Haemodorales,Commelinales
Hanguanales =Commelinales,Hanguanales,Commelinales
Philydrales =Commelinales,Philydrales,Commelinales
Pontederiales =Commelinales,Pontederiales,Commelinales
Alangiales =Cornales,Alangiales,Cornales
Grubbiales =Cornales,Grubbiales,Cornales
Hortensiales =Cornales,Hortensiales,Cornales
Hydrangeales =Cornales,Hydrangeales,Cornales
Loasales =Cornales,Loasales,Cornales
Nyssales =Cornales,Nyssales,Cornales
Philadelphales =Cornales,Philadelphales,Cornales
Geissolomatales =Crossosomatales,Geissolomatales,Crossosomatales
Staphyleales =Crossosomatales,Staphyleales,Crossosomatales
Anisophylleales =Cucurbitales,Anisophylleales,Cucurbitales
Begoniales =Cucurbitales,Begoniales,Cucurbitales
Coriariales =Cucurbitales,Coriariales,Cucurbitales
Corynocarpales =Cucurbitales,Corynocarpales,Cucurbitales
Datiscales =Cucurbitales,Datiscales,Cucurbitales
Dicksoniales =Cyatheales,Dicksoniales,Cyatheales
Hymenophyllopsidales =Cyatheales,Hymenophyllopsidales,Cyatheales
Loxsomatales =Cyatheales,Loxsomatales,Cyatheales
Metaxyales =Cyatheales,Metaxyales,Cyatheales
Plagiogyriales =Cyatheales,Plagiogyriales,Cyatheales
Dioales =Cycadales,Dioales,Cycadales
Stangeriales =Cycadales,Stangeriales,Cycadales
Zamiales =Cycadales,Zamiales,Cycadales
Burmanniales =Dioscoreales,Burmanniales,Dioscoreales
Nartheciales =Dioscoreales,Nartheciales,Dioscoreales
Taccales =Dioscoreales,Taccales,Dioscoreales
Tamales =Dioscoreales,Tamales,Dioscoreales
Adoxales =Dipsacales,Adoxales,Dipsacales
Caprifoliales =Dipsacales,Caprifoliales,Dipsacales
Lonicerales =Dipsacales,Lonicerales,Dipsacales
Sambucales =Dipsacales,Sambucales,Dipsacales
Valerianales =Dipsacales,Valerianales,Dipsacales
Viburnales =Dipsacales,Viburnales,Dipsacales
Actinidiales =Ericales,Actinidiales,Ericales
Aegiceratales =Ericales,Aegiceratales,Ericales
Ardisiales =Ericales,Ardisiales,Ericales
Balsaminales =Ericales,Balsaminales,Ericales
Barringtoniales =Ericales,Barringtoniales,Ericales
Camelliales =Ericales,Camelliales,Ericales
Cyrillales =Ericales,Cyrillales,Ericales
Diapensiales =Ericales,Diapensiales,Ericales
Diospyrales =Ericales,Diospyrales,Ericales
Ebenales =Ericales,Ebenales,Ericales
Empetrales =Ericales,Empetrales,Ericales
Epacridales =Ericales,Epacridales,Ericales
Fouquieriales =Ericales,Fouquieriales,Ericales
Gordoniales =Ericales,Gordoniales,Ericales
Halesiales =Ericales,Halesiales,Ericales
Lecythidales =Ericales,Lecythidales,Ericales
Lysimachiales =Ericales,Lysimachiales,Ericales
Marcgraviales =Ericales,Marcgraviales,Ericales
Mitrastemonales =Ericales,Mitrastemonales,Ericales
Monotropales =Ericales,Monotropales,Ericales
Myrsinales =Ericales,Myrsinales,Ericales
Polemoniales =Ericales,Polemoniales,Ericales
Primulales =Ericales,Primulales,Ericales
Rhodorales =Ericales,Rhodorales,Ericales
Roridulales =Ericales,Roridulales,Ericales
Samolales =Ericales,Samolales,Ericales
Sapotales =Ericales,Sapotales,Ericales
Sarraceniales =Ericales,Sarraceniales,Ericales
Styracales =Ericales,Styracales,Ericales
Ternstroemiales =Ericales,Ternstroemiales,Ericales
Theales =Ericales,Theales,Ericales
Vacciniales =Ericales,Vacciniales,Ericales
Tribelales =Escalloniales,Tribelales,Escalloniales
Emmotales =ex-Icacinaceae-near Garryales,Emmotales,ex-Icacinaceae-near Garryales
Cassiales =Fabales,Cassiales,Fabales
Mimosales =Fabales,Mimosales,Fabales
Polygalales =Fabales,Polygalales,Fabales
Quillajales =Fabales,Quillajales,Fabales
Surianales =Fabales,Surianales,Fabales
Betulales =Fagales,Betulales,Fagales
Carpinales =Fagales,Carpinales,Fagales
Casuarinales =Fagales,Casuarinales,Fagales
Corylales =Fagales,Corylales,Fagales
Juglandales =Fagales,Juglandales,Fagales
Myricales =Fagales,Myricales,Fagales
Nothofagales =Fagales,Nothofagales,Fagales
Quercales =Fagales,Quercales,Fagales
Rhoipteleales =Fagales,Rhoipteleales,Fagales
Aucubales =Garryales,Aucubales,Garryales
Eucommiales =Garryales,Eucommiales,Garryales
Apocynales =Gentianales,Apocynales,Gentianales
Asclepiadales =Gentianales,Asclepiadales,Gentianales
Chironiales =Gentianales,Chironiales,Gentianales
Cinchonales =Gentianales,Cinchonales,Gentianales
Galiales =Gentianales,Galiales,Gentianales
Loganiales =Gentianales,Loganiales,Gentianales
Lygodisodeales =Gentianales,Lygodisodeales,Gentianales
Rubiales =Gentianales,Rubiales,Gentianales
Strychnales =Gentianales,Strychnales,Gentianales
Theligonales =Gentianales,Theligonales,Gentianales
Vincales =Gentianales,Vincales,Gentianales
Francoales =Geraniales,Francoales,Geraniales
Greyiales =Geraniales,Greyiales,Geraniales
Ledocarpales =Geraniales,Ledocarpales,Geraniales
Melianthales =Geraniales,Melianthales,Geraniales
Dipteridales =Gleicheniales,Dipteridales,Gleicheniales
Matoniales =Gleicheniales,Matoniales,Gleicheniales
Stromatoperidales =Gleicheniales,Stromatoperidales,Gleicheniales
Ephedrales =Gnetales,Ephedrales,Gnetales
Tumboales =Gnetales,Tumboales,Gnetales
Welwitschiales =Gnetales,Welwitschiales,Gnetales
Myrothamnales =Gunnerales,Myrothamnales,Gunnerales
Dipentodontales =Huerteales,Dipentodontales,Huerteales
Acanthales =Lamiales,Acanthales,Lamiales
Antirrhinales =Lamiales,Antirrhinales,Lamiales
Aragoales =Lamiales,Aragoales,Lamiales
Bignoniales =Lamiales,Bignoniales,Lamiales
Byblidales =Lamiales,Byblidales,Lamiales
Callitrichales =Lamiales,Callitrichales,Lamiales
Carlemanniales =Lamiales,Carlemanniales,Lamiales
Fraxinales =Lamiales,Fraxinales,Lamiales
Gesneriales =Lamiales,Gesneriales,Lamiales
Globulariales =Lamiales,Globulariales,Lamiales
Hippuridales =Lamiales,Hippuridales,Lamiales
Hydrostachyales =Lamiales,Hydrostachyales,Lamiales
Jasminales =Lamiales,Jasminales,Lamiales
Lentibulariales =Lamiales,Lentibulariales,Lamiales
Ligustrales =Lamiales,Ligustrales,Lamiales
Myoporales =Lamiales,Myoporales,Lamiales
Oleales =Lamiales,Oleales,Lamiales
Orobanchiales =Lamiales,Orobanchiales,Lamiales
Pedaliales =Lamiales,Pedaliales,Lamiales
Pinguiculales =Lamiales,Pinguiculales,Lamiales
Plantaginales =Lamiales,Plantaginales,Lamiales
Rhinanthales =Lamiales,Rhinanthales,Lamiales
Scrophulariales =Lamiales,Scrophulariales,Lamiales
Selaginales =Lamiales,Selaginales,Lamiales
Stilbales =Lamiales,Stilbales,Lamiales
Utriculariales =Lamiales,Utriculariales,Lamiales
Verbascales =Lamiales,Verbascales,Lamiales
Verbenales =Lamiales,Verbenales,Lamiales
Viticales =Lamiales,Viticales,Lamiales
Atherospermatales =Laurales,Atherospermatales,Laurales
Calycanthales =Laurales,Calycanthales,Laurales
Gyrocarpales =Laurales,Gyrocarpales,Laurales
Hernandiales =Laurales,Hernandiales,Laurales
Illigerales =Laurales,Illigerales,Laurales
Monimiales =Laurales,Monimiales,Laurales
Alstroemeriales =Liliales,Alstroemeriales,Liliales
Campynematales =Liliales,Campynematales,Liliales
Colchicales =Liliales,Colchicales,Liliales
Liriales =Liliales,Liriales,Liliales
Melanthiales =Liliales,Melanthiales,Liliales
Paridales =Liliales,Paridales,Liliales
Smilacales =Liliales,Smilacales,Liliales
Trilliales =Liliales,Trilliales,Liliales
Veratrales =Liliales,Veratrales,Liliales
Annonales =Magnoliales,Annonales,Magnoliales
Degeneriales =Magnoliales,Degeneriales,Magnoliales
Eupomatiales =Magnoliales,Eupomatiales,Magnoliales
Himantandrales =Magnoliales,Himantandrales,Magnoliales
Myristicales =Magnoliales,Myristicales,Magnoliales
Balanopales =Malpighiales,Balanopales,Malpighiales
Chailettales =Malpighiales,Chailettales,Malpighiales
Chrysobalanales =Malpighiales,Chrysobalanales,Malpighiales
Elatinales =Malpighiales,Elatinales,Malpighiales
Erythroxylales =Malpighiales,Erythroxylales,Malpighiales
Euphorbiales =Malpighiales,Euphorbiales,Malpighiales
Flacourtiales =Malpighiales,Flacourtiales,Malpighiales
Garciniales =Malpighiales,Garciniales,Malpighiales
Homaliales =Malpighiales,Homaliales,Malpighiales
Hypericales =Malpighiales,Hypericales,Malpighiales
Irvingales =Malpighiales,Irvingales,Malpighiales
Lacistematales =Malpighiales,Lacistematales,Malpighiales
Linales =Malpighiales,Linales,Malpighiales
Malesherbiales =Malpighiales,Malesherbiales,Malpighiales
Marathrales =Malpighiales,Marathrales,Malpighiales
Medusagynales =Malpighiales,Medusagynales,Malpighiales
Ochnales =Malpighiales,Ochnales,Malpighiales
Pandales =Malpighiales,Pandales,Malpighiales
Passiflorales =Malpighiales,Passiflorales,Malpighiales
Phyllanthales =Malpighiales,Phyllanthales,Malpighiales
Podostemales =Malpighiales,Podostemales,Malpighiales
Rafflesiales =Malpighiales,Rafflesiales,Malpighiales
Rhizophorales =Malpighiales,Rhizophorales,Malpighiales
Salicales =Malpighiales,Salicales,Malpighiales
Samydales =Malpighiales,Samydales,Malpighiales
Sauvagesiales =Malpighiales,Sauvagesiales,Malpighiales
Scyphostegiales =Malpighiales,Scyphostegiales,Malpighiales
Stilaginales =Malpighiales,Stilaginales,Malpighiales
Turnerales =Malpighiales,Turnerales,Malpighiales
Violales =Malpighiales,Violales,Malpighiales
Aquilariales =Malvales,Aquilariales,Malvales
Bixales =Malvales,Bixales,Malvales
Bombacales =Malvales,Bombacales,Malvales
Byttneriales =Malvales,Byttneriales,Malvales
Cistales =Malvales,Cistales,Malvales
Cytinales =Malvales,Cytinales,Malvales
Daphnales =Malvales,Daphnales,Malvales
Dipterocarpales =Malvales,Dipterocarpales,Malvales
Neuradales =Malvales,Neuradales,Malvales
Sterculiales =Malvales,Sterculiales,Malvales
Thymelaeales =Malvales,Thymelaeales,Malvales
Tiliales =Malvales,Tiliales,Malvales
Christenseniales =Marattiales,Christenseniales,Marattiales
Metteniusales =Metteniusaceae-Near Garryales,Metteniusales,Metteniusaceae-Near Garryales
Circaeales =Myrtales,Circaeales,Myrtales
Combretales =Myrtales,Combretales,Myrtales
Epilobiales =Myrtales,Epilobiales,Myrtales
Henslowiales =Myrtales,Henslowiales,Myrtales
Lythrales =Myrtales,Lythrales,Myrtales
Melastomatales =Myrtales,Melastomatales,Myrtales
Memecylales =Myrtales,Memecylales,Myrtales
Oenotherales =Myrtales,Oenotherales,Myrtales
Onagrales =Myrtales,Onagrales,Myrtales
Penaeales =Myrtales,Penaeales,Myrtales
Trapales =Myrtales,Trapales,Myrtales
Vochysiales =Myrtales,Vochysiales,Myrtales
Dasypogonales =Near Arecales,Dasypogonales,Near Arecales
Barclayales =Nymphaeales,Barclayales,Nymphaeales
Cabombales =Nymphaeales,Cabombales,Nymphaeales
Euryalales =Nymphaeales,Euryalales,Nymphaeales
Hydatellales =Nymphaeales,Hydatellales,Nymphaeales
Hydropeltidales =Nymphaeales,Hydropeltidales,Nymphaeales
Oncothecales =Oncothecaceae,Oncothecales,Oncothecaceae
Bauerales =Oxalidales,Bauerales,Oxalidales
Cephalotales =Oxalidales,Cephalotales,Oxalidales
Connarales =Oxalidales,Connarales,Oxalidales
Cunoniales =Oxalidales,Cunoniales,Oxalidales
Elaeocarpales =Oxalidales,Elaeocarpales,Oxalidales
Tremandrales =Oxalidales,Tremandrales,Oxalidales
Cyclanthales =Pandanales,Cyclanthales,Pandanales
Roxburghiales =Pandanales,Roxburghiales,Pandanales
Stemonales =Pandanales,Stemonales,Pandanales
Triuridales =Pandanales,Triuridales,Pandanales
Velloziales =Pandanales,Velloziales,Pandanales
Quintiniales =Paracryphiales,Quintiniales,Paracryphiales
Sphenostemonales =Paracryphiales,Sphenostemonales,Paracryphiales
Miyoshiales =Petrosaviales,Miyoshiales,Petrosaviales
Abietales =Pinales,Abietales,Pinales
Actinostrobales =Pinales,Actinostrobales,Pinales
Araucariales =Pinales,Araucariales,Pinales
Athrotaxidales =Pinales,Athrotaxidales,Pinales
Cephalotaxales =Pinales,Cephalotaxales,Pinales
Cunninghamiales =Pinales,Cunninghamiales,Pinales
Cupressales =Pinales,Cupressales,Pinales
Falcatifoliales =Pinales,Falcatifoliales,Pinales
Microstrobales =Pinales,Microstrobales,Pinales
Parasitaxales =Pinales,Parasitaxales,Pinales
Podocarpales =Pinales,Podocarpales,Pinales
Saxegotheales =Pinales,Saxegotheales,Pinales
Sciadopityales =Pinales,Sciadopityales,Pinales
Taxales =Pinales,Taxales,Pinales
Taxodiales =Pinales,Taxodiales,Pinales
Aristolochiales =Piperales,Aristolochiales,Piperales
Asarales =Piperales,Asarales,Piperales
Hydnorales =Piperales,Hydnorales,Piperales
Lactoridales =Piperales,Lactoridales,Piperales
Saururales =Piperales,Saururales,Piperales
Avenales =Poales,Avenales,Poales
Bromeliales =Poales,Bromeliales,Poales
Centrolepidales =Poales,Centrolepidales,Poales
Cyperales =Poales,Cyperales,Poales
Eriocaulales =Poales,Eriocaulales,Poales
Flagellariales =Poales,Flagellariales,Poales
Juncales =Poales,Juncales,Poales
Mayacales =Poales,Mayacales,Poales
Rapateales =Poales,Rapateales,Poales
Restionales =Poales,Restionales,Poales
Typhales =Poales,Typhales,Poales
Xyridales =Poales,Xyridales,Poales
Aspleniales =Polypodiales,Aspleniales,Polypodiales
Athyriales =Polypodiales,Athyriales,Polypodiales
Blechnales =Polypodiales,Blechnales,Polypodiales
Dennstaedtiales =Polypodiales,Dennstaedtiales,Polypodiales
Dryopteridales =Polypodiales,Dryopteridales,Polypodiales
Lindsaeales =Polypodiales,Lindsaeales,Polypodiales
Negripteridales =Polypodiales,Negripteridales,Polypodiales
Parkeriales =Polypodiales,Parkeriales,Polypodiales
Platyzomatales =Polypodiales,Platyzomatales,Polypodiales
Pteridales =Polypodiales,Pteridales,Polypodiales
Thelypteridales =Polypodiales,Thelypteridales,Polypodiales
Sabiales =Proteales-Provisional,Sabiales,Proteales-Provisional
Nelumbonales =Proteales,Nelumbonales,Proteales
Platanales =Proteales,Platanales,Proteales
Berberidales =Ranunculales,Berberidales,Ranunculales
Circaeasterales =Ranunculales,Circaeasterales,Ranunculales
Eupteleales =Ranunculales,Eupteleales,Ranunculales
Fumariales =Ranunculales,Fumariales,Ranunculales
Glaucidiales =Ranunculales,Glaucidiales,Ranunculales
Helleborales =Ranunculales,Helleborales,Ranunculales
Hydrastidales =Ranunculales,Hydrastidales,Ranunculales
Lardizabalales =Ranunculales,Lardizabalales,Ranunculales
Menispermales =Ranunculales,Menispermales,Ranunculales
Nandinales =Ranunculales,Nandinales,Ranunculales
Papaverales =Ranunculales,Papaverales,Ranunculales
Podophyllales =Ranunculales,Podophyllales,Ranunculales
Amygdalales =Rosales,Amygdalales,Rosales
Artocarpales =Rosales,Artocarpales,Rosales
Barbeyales =Rosales,Barbeyales,Rosales
Cannabales =Rosales,Cannabales,Rosales
Dryadales =Rosales,Dryadales,Rosales
Elaeagnales =Rosales,Elaeagnales,Rosales
Ficales =Rosales,Ficales,Rosales
Frangulales =Rosales,Frangulales,Rosales
Morales =Rosales,Morales,Rosales
Rhamnales =Rosales,Rhamnales,Rosales
Sanguisorbales =Rosales,Sanguisorbales,Rosales
Spiraeales =Rosales,Spiraeales,Rosales
Ulmales =Rosales,Ulmales,Rosales
Urticales =Rosales,Urticales,Rosales
Meliosmales =Sabiales,Meliosmales,Sabiales
Marsileales =Salviniales,Marsileales,Salviniales
Pilulariales =Salviniales,Pilulariales,Salviniales
Anthobolales =Santalales,Anthobolales,Santalales
Balanophorales =Santalales,Balanophorales,Santalales
Erythropalales =Santalales,Erythropalales,Santalales
Heisteriales =Santalales,Heisteriales,Santalales
Loranthales =Santalales,Loranthales,Santalales
Olacales =Santalales,Olacales,Santalales
Viscales =Santalales,Viscales,Santalales
Ximeniales =Santalales,Ximeniales,Santalales
Acerales =Sapindales,Acerales,Sapindales
Aesculales =Sapindales,Aesculales,Sapindales
Amyridales =Sapindales,Amyridales,Sapindales
Aurantiales =Sapindales,Aurantiales,Sapindales
Biebersteiniales =Sapindales,Biebersteiniales,Sapindales
Burserales =Sapindales,Burserales,Sapindales
Cedrelales =Sapindales,Cedrelales,Sapindales
Citrales =Sapindales,Citrales,Sapindales
Cneorales =Sapindales,Cneorales,Sapindales
Diosmales =Sapindales,Diosmales,Sapindales
Hippocastanales =Sapindales,Hippocastanales,Sapindales
Julianiales =Sapindales,Julianiales,Sapindales
Leitneriales =Sapindales,Leitneriales,Sapindales
Meliales =Sapindales,Meliales,Sapindales
Myrobalanales =Sapindales,Myrobalanales,Sapindales
Nitrariales =Sapindales,Nitrariales,Sapindales
Pteleales =Sapindales,Pteleales,Sapindales
Rutales =Sapindales,Rutales,Sapindales
Simaroubales =Sapindales,Simaroubales,Sapindales
Spondiadales =Sapindales,Spondiadales,Sapindales
Terebinthales =Sapindales,Terebinthales,Sapindales
Zanthoxylales =Sapindales,Zanthoxylales,Sapindales
Altingiales =Saxifragales,Altingiales,Saxifragales
Cercidiphyllales =Saxifragales,Cercidiphyllales,Saxifragales
Crassulales =Saxifragales,Crassulales,Saxifragales
Cynomoriales =Saxifragales,Cynomoriales,Saxifragales
Daphniphyllales =Saxifragales,Daphniphyllales,Saxifragales
Fothergillales =Saxifragales,Fothergillales,Saxifragales
Grossulariales =Saxifragales,Grossulariales,Saxifragales
Haloragales =Saxifragales,Haloragales,Saxifragales
Hamamelidales =Saxifragales,Hamamelidales,Saxifragales
Iteales =Saxifragales,Iteales,Saxifragales
Medusandrales =Saxifragales,Medusandrales,Saxifragales
Paeoniales =Saxifragales,Paeoniales,Saxifragales
Peridiscales =Saxifragales,Peridiscales,Saxifragales
Sedales =Saxifragales,Sedales,Saxifragales
Sempervivales =Saxifragales,Sempervivales,Saxifragales
Cestrales =Solanales,Cestrales,Solanales
Convolvulales =Solanales,Convolvulales,Solanales
Cuscutales =Solanales,Cuscutales,Solanales
Hydroleales =Solanales,Hydroleales,Solanales
Nolanales =Solanales,Nolanales,Solanales
Sphenocleales =Solanales,Sphenocleales,Solanales
Huales =Unplaced eurosid I,Huales,Unplaced eurosid I
Vahliales =Vahliaceae,Vahliales,Vahliaceae
Leeales =Vitales,Leeales,Vitales
Amomales =Zingiberales,Amomales,Zingiberales
Cannales =Zingiberales,Cannales,Zingiberales
Lowiales =Zingiberales,Lowiales,Zingiberales
Marantales =Zingiberales,Marantales,Zingiberales
Musales =Zingiberales,Musales,Zingiberales
Balanitales =Zygophyllales,Balanitales,Zygophyllales
Krameriales =Zygophyllales,Krameriales,Zygophyllales
